Filename,CPU Time,Normalized CPU Time,problem,technique
clang_generated_unoptimized.asm,0.2599079999999958,1.0,01,constant folding
clang_generated_O2_optimized.asm,0.2323289999999929,0.8938893762408108,01,constant folding
clang_generated_llm_optimized.asm,0.2310990000000004,0.8891569324530376,01,constant folding
clang_generated_O1_optimized.asm,0.2319589999999891,0.8924657955891812,01,constant folding
clang_generated_O3_optimized.asm,0.2246560000000101,0.8643673915385975,01,constant folding
llm_generated.asm,0.0022079999999959,0.0084953137263802,01,constant folding
clang_generated_unoptimized.asm,0.257477999999999,1.0,02,constant folding
clang_generated_O2_optimized.asm,0.2278129999999976,0.8847862730019593,02,constant folding
clang_generated_llm_optimized.asm,0.2266180000000019,0.880145099775526,02,constant folding
clang_generated_O1_optimized.asm,0.2249850000000037,0.873802810337212,02,constant folding
clang_generated_O3_optimized.asm,0.2289639999999977,0.8892565578418297,02,constant folding
llm_generated.asm,0.0025349999999946,0.0098455013632024,02,constant folding
clang_generated_unoptimized.asm,0.2559529999999981,1.0,03,constant folding
clang_generated_O2_optimized.asm,0.2455549999999995,0.9593753540689164,03,constant folding
clang_generated_llm_optimized.asm,0.2201149999999998,0.8599821060897956,03,constant folding
clang_generated_O1_optimized.asm,0.2217640000000003,0.8664246951588844,03,constant folding
clang_generated_O3_optimized.asm,0.2246710000000007,0.8777822490848023,03,constant folding
llm_generated.asm,0.2253000000000007,0.8802397315132169,03,constant folding
clang_generated_unoptimized.asm,0.2695499999999988,1.0,04,constant folding
clang_generated_O2_optimized.asm,0.2291789999999984,0.8502281580411777,04,constant folding
clang_generated_llm_optimized.asm,0.2332600000000013,0.8653682062697176,04,constant folding
clang_generated_O1_optimized.asm,0.2334289999999974,0.8659951771470913,04,constant folding
clang_generated_O3_optimized.asm,0.2321360000000005,0.8611982934520555,04,constant folding
llm_generated.asm,0.0063619999999993,0.0236023001298435,04,constant folding
clang_generated_unoptimized.asm,0.6344309999999993,1.0,05,constant folding
clang_generated_O2_optimized.asm,0.2209009999999978,0.3481875885636074,05,constant folding
clang_generated_llm_optimized.asm,0.506931999999999,0.7990340951183023,05,constant folding
clang_generated_O1_optimized.asm,0.2241769999999974,0.3533512706661523,05,constant folding
clang_generated_O3_optimized.asm,0.2291450000000026,0.3611819094590315,05,constant folding
llm_generated.asm,0.2886939999999995,0.4550439685324328,05,constant folding
clang_generated_unoptimized.asm,0.2821189999999944,1.0,06,constant folding
clang_generated_O2_optimized.asm,0.226696000000004,0.8035474392012182,06,constant folding
clang_generated_llm_optimized.asm,0.2304249999999967,0.8167652657212073,06,constant folding
clang_generated_O1_optimized.asm,0.2309119999999893,0.818491487634629,06,constant folding
clang_generated_O3_optimized.asm,0.2330319999999801,0.8260060470935482,06,constant folding
llm_generated.asm,0.0030269999999745,0.0107295148500265,06,constant folding
clang_generated_unoptimized.asm,0.2569090000000074,1.0,07,constant folding
clang_generated_O2_optimized.asm,0.2294979999999924,0.8933046331579891,07,constant folding
clang_generated_llm_optimized.asm,0.2263419999999882,0.8810201277494435,07,constant folding
clang_generated_O1_optimized.asm,0.232844,0.9063287000455156,07,constant folding
clang_generated_O3_optimized.asm,0.2313459999999878,0.9004978416481368,07,constant folding
llm_generated.asm,7.545806999999996,29.371516762743926,07,constant folding
clang_generated_unoptimized.asm,0.2582160000000044,1.0,08,constant folding
clang_generated_O2_optimized.asm,0.2351100000000201,0.9105167766521676,08,constant folding
clang_generated_llm_optimized.asm,0.230384000000015,0.8922142702234217,08,constant folding
clang_generated_O1_optimized.asm,0.2268150000000162,0.878392508597501,08,constant folding
clang_generated_O3_optimized.asm,0.230290999999994,0.8918541066393642,08,constant folding
llm_generated.asm,0.2329809999999952,0.9022717414877126,08,constant folding
clang_generated_unoptimized.asm,0.3075580000000002,1.0,09,constant folding
clang_generated_O2_optimized.asm,0.2308069999999986,0.7504503215653584,09,constant folding
clang_generated_llm_optimized.asm,0.2304729999999892,0.7493643475376648,09,constant folding
clang_generated_O1_optimized.asm,0.2323430000000144,0.7554445015249619,09,constant folding
clang_generated_O3_optimized.asm,0.2302789999999959,0.7487335722042533,09,constant folding
llm_generated.asm,0.0029480000000035,0.009585183932798,09,constant folding
clang_generated_unoptimized.asm,0.2769959999999969,1.0,10,constant folding
clang_generated_O2_optimized.asm,0.230329999999995,0.8315282531155598,10,constant folding
clang_generated_llm_optimized.asm,0.2305840000000074,0.8324452338662292,10,constant folding
clang_generated_O1_optimized.asm,0.2316129999999958,0.8361600889543475,10,constant folding
clang_generated_O3_optimized.asm,0.2228020000000015,0.8043509653569149,10,constant folding
llm_generated.asm,0.2264590000000055,0.8175533220696618,10,constant folding
clang_generated_unoptimized.asm,0.3571320000000071,1.0,100,copy propagation
clang_generated_O2_optimized.asm,0.2306959999999946,0.6459684374404704,100,copy propagation
clang_generated_llm_optimized.asm,0.2267599999999845,0.634947302397937,100,copy propagation
clang_generated_O1_optimized.asm,0.2316000000000144,0.6484997143913451,100,copy propagation
clang_generated_O3_optimized.asm,0.2239429999999913,0.6270594626076266,100,copy propagation
llm_generated.asm,0.2233409999999764,0.6253738113637871,100,copy propagation
clang_generated_unoptimized.asm,0.2532800000000037,1.0,11,constant folding
clang_generated_O2_optimized.asm,0.2240670000000051,0.8846612444725277,11,constant folding
clang_generated_llm_optimized.asm,0.2257919999999984,0.8914718888186794,11,constant folding
clang_generated_O1_optimized.asm,0.230078000000006,0.9083938723941986,11,constant folding
clang_generated_O3_optimized.asm,0.2283539999999959,0.901587176247602,11,constant folding
llm_generated.asm,0.0026990000000068,0.0106561907770327,11,constant folding
clang_generated_unoptimized.asm,0.2556450000000154,1.0,12,constant folding
clang_generated_O2_optimized.asm,0.2231359999999824,0.8728353771830819,12,constant folding
clang_generated_llm_optimized.asm,0.2357509999999933,0.9221811496410224,12,constant folding
clang_generated_O1_optimized.asm,0.2254179999999905,0.8817618181461674,12,constant folding
clang_generated_O3_optimized.asm,0.2227000000000032,0.8711298871481538,12,constant folding
llm_generated.asm,0.2231260000000077,0.8727962604392585,12,constant folding
clang_generated_unoptimized.asm,0.3687529999999981,1.0,13,constant folding
clang_generated_O2_optimized.asm,0.2262329999999792,0.6135082290855408,13,constant folding
clang_generated_llm_optimized.asm,0.2260739999999828,0.6130770461528013,13,constant folding
clang_generated_O1_optimized.asm,0.2243740000000116,0.6084669141675126,13,constant folding
clang_generated_O3_optimized.asm,0.2266740000000027,0.6147041515594555,13,constant folding
llm_generated.asm,0.0024090000000001,0.0065328282074996,13,constant folding
clang_generated_unoptimized.asm,0.2599950000000035,1.0,14,constant folding
clang_generated_O2_optimized.asm,0.2248950000000036,0.864997403796229,14,constant folding
clang_generated_llm_optimized.asm,0.2239689999999825,0.8614357968421681,14,constant folding
clang_generated_O1_optimized.asm,0.2249810000000138,0.8653281793881067,14,constant folding
clang_generated_O3_optimized.asm,0.2295660000000055,0.8829631339064304,14,constant folding
llm_generated.asm,0.2314760000000149,0.8903094290275265,14,constant folding
clang_generated_unoptimized.asm,0.3171250000000043,1.0,15,constant folding
clang_generated_O2_optimized.asm,0.2249029999999834,0.7091935356719916,15,constant folding
clang_generated_llm_optimized.asm,0.2521859999999947,0.795225857311758,15,constant folding
clang_generated_O1_optimized.asm,0.2264460000000099,0.7140591249507507,15,constant folding
clang_generated_O3_optimized.asm,0.2234530000000063,0.7046212061490053,15,constant folding
llm_generated.asm,0.002613000000025,0.0082396531337013,15,constant folding
