Filename,CPU Time,Normalized CPU Time,problem,technique
clang_generated_unoptimized.asm,0.743542,1.0,61,loop unrolling
clang_generated_llm_optimized.asm,0.2220029999999999,0.298574929190281,61,loop unrolling
clang_generated_O3_optimized.asm,0.2234179999999999,0.3004779824139051,61,loop unrolling
clang_generated_unoptimized.asm,0.3405319999999998,1.0,95,copy propagation
clang_generated_llm_optimized.asm,0.2448049999999999,0.7188898546979434,95,copy propagation
clang_generated_O3_optimized.asm,0.2258139999999997,0.6631212338341179,95,copy propagation
clang_generated_unoptimized.asm,0.254811,1.0,59,strength reduction
clang_generated_llm_optimized.asm,0.2235809999999999,0.8774385721181578,59,strength reduction
clang_generated_O3_optimized.asm,0.2239780000000001,0.8789965896291766,59,strength reduction
clang_generated_unoptimized.asm,0.3440259999999999,1.0,92,copy propagation
clang_generated_llm_optimized.asm,0.2194950000000002,0.6380186381261889,92,copy propagation
clang_generated_O3_optimized.asm,0.2454430000000003,0.7134431699929666,92,copy propagation
clang_generated_unoptimized.asm,0.720445,1.0,66,loop unrolling
clang_generated_llm_optimized.asm,0.2261360000000001,0.313883780163649,66,loop unrolling
clang_generated_O3_optimized.asm,0.225306,0.3127317144265003,66,loop unrolling
clang_generated_unoptimized.asm,0.251217,1.0,50,strength reduction
clang_generated_llm_optimized.asm,0.2219770000000001,0.8836066030563221,50,strength reduction
clang_generated_O3_optimized.asm,0.2196249999999999,0.874244179334997,50,strength reduction
clang_generated_unoptimized.asm,0.7240470000000001,1.0,68,loop unrolling
clang_generated_llm_optimized.asm,0.444188,0.6134795116891583,68,loop unrolling
clang_generated_O3_optimized.asm,0.2269360000000002,0.3134271670209257,68,loop unrolling
clang_generated_unoptimized.asm,0.2520929999999999,1.0,57,strength reduction
clang_generated_llm_optimized.asm,0.2206230000000002,0.8751651176351597,57,strength reduction
clang_generated_O3_optimized.asm,0.2215220000000002,0.8787312618755789,57,strength reduction
clang_generated_unoptimized.asm,0.2514099999999999,1.0,03,constant folding
clang_generated_llm_optimized.asm,0.2235060000000004,0.8890099836919793,03,constant folding
clang_generated_O3_optimized.asm,0.2260620000000006,0.8991766437293692,03,constant folding
llm_generated.asm,0.2253420000000003,0.8963127958315121,03,constant folding
clang_generated_unoptimized.asm,0.2559469999999999,1.0,04,constant folding
clang_generated_llm_optimized.asm,0.253336,0.9897986692557448,04,constant folding
clang_generated_O3_optimized.asm,0.2518520000000004,0.984000593872952,04,constant folding
llm_generated.asm,0.0022159999999997,0.0086580424853574,04,constant folding
clang_generated_unoptimized.asm,0.6620559999999998,1.0,32,dead code elimination
clang_generated_llm_optimized.asm,0.2350950000000002,0.3550983602595556,32,dead code elimination
clang_generated_O3_optimized.asm,0.0044079999999997,0.006658047053421,32,dead code elimination
llm_generated.asm,5.344354,8.072359437872327,32,dead code elimination
clang_generated_unoptimized.asm,0.6380540000000003,1.0,35,dead code elimination
clang_generated_llm_optimized.asm,0.1240959999999997,0.194491375338137,35,dead code elimination
clang_generated_O3_optimized.asm,0.0044449999999987,0.0069664949988538,35,dead code elimination
llm_generated.asm,12.06974,18.916486692348915,35,dead code elimination
clang_generated_unoptimized.asm,0.721104,1.0,69,loop unrolling
clang_generated_llm_optimized.asm,0.2249379999999998,0.3119355876544851,69,loop unrolling
clang_generated_O3_optimized.asm,0.2252869999999998,0.3124195677738576,69,loop unrolling
clang_generated_unoptimized.asm,0.2524819999999996,1.0,56,strength reduction
clang_generated_llm_optimized.asm,0.220139,0.8718997789941476,56,strength reduction
clang_generated_O3_optimized.asm,0.2199179999999998,0.871024469071063,56,strength reduction
clang_generated_unoptimized.asm,0.2505950000000005,1.0,51,strength reduction
clang_generated_llm_optimized.asm,0.0022109999999999,0.0088230012570081,51,strength reduction
clang_generated_O3_optimized.asm,0.2198530000000005,0.8773239689538899,51,strength reduction
clang_generated_unoptimized.asm,0.2536909999999999,1.0,58,strength reduction
clang_generated_llm_optimized.asm,0.2205910000000006,0.86952631350738,58,strength reduction
clang_generated_O3_optimized.asm,0.2203799999999995,0.8686945930285256,58,strength reduction
clang_generated_unoptimized.asm,0.4304249999999996,1.0,67,loop unrolling
clang_generated_llm_optimized.asm,0.222291000000002,0.5164453737584996,67,loop unrolling
clang_generated_O3_optimized.asm,0.2208070000000006,0.5129976186327486,67,loop unrolling
clang_generated_unoptimized.asm,0.3987119999999997,1.0,93,copy propagation
clang_generated_O3_optimized.asm,0.2192189999999989,0.5498179136820539,93,copy propagation
clang_generated_unoptimized.asm,0.4105729999999994,1.0,94,copy propagation
clang_generated_llm_optimized.asm,0.2192039999999977,0.5338977477817539,94,copy propagation
clang_generated_O3_optimized.asm,0.2202039999999989,0.5363333682438916,94,copy propagation
clang_generated_unoptimized.asm,0.2506300000000001,1.0,60,strength reduction
clang_generated_llm_optimized.asm,0.2198219999999997,0.8770777640346312,60,strength reduction
clang_generated_O3_optimized.asm,0.2259630000000001,0.9015800183537488,60,strength reduction
clang_generated_unoptimized.asm,0.2548299999999992,1.0,34,dead code elimination
clang_generated_llm_optimized.asm,0.2254360000000002,0.8846525134403362,34,dead code elimination
clang_generated_O3_optimized.asm,0.2252999999999998,0.8841188243142507,34,dead code elimination
clang_generated_unoptimized.asm,0.2578759999999995,1.0,33,dead code elimination
clang_generated_llm_optimized.asm,0.2259919999999997,0.876359180381269,33,dead code elimination
clang_generated_O3_optimized.asm,0.2260110000000006,0.8764328592036522,33,dead code elimination
clang_generated_unoptimized.asm,0.6256129999999978,1.0,05,constant folding
clang_generated_llm_optimized.asm,0.4994280000000017,0.7983018255694871,05,constant folding
clang_generated_O3_optimized.asm,0.2254600000000017,0.3603825368079029,05,constant folding
llm_generated.asm,0.2848739999999985,0.4553517909634223,05,constant folding
clang_generated_unoptimized.asm,0.2796850000000006,1.0,02,constant folding
clang_generated_llm_optimized.asm,0.2235069999999979,0.7991383163201365,02,constant folding
clang_generated_O3_optimized.asm,0.226623,0.8102794214920339,02,constant folding
llm_generated.asm,0.0050220000000003,0.0179559146897412,02,constant folding
clang_generated_unoptimized.asm,0.2593800000000001,1.0,20,constant folding
clang_generated_llm_optimized.asm,0.2260749999999998,0.8715976559487997,20,constant folding
clang_generated_O3_optimized.asm,0.2256869999999988,0.8701017811704785,20,constant folding
clang_generated_unoptimized.asm,0.2243530000000007,1.0,18,constant folding
clang_generated_llm_optimized.asm,0.2264959999999991,1.0095519114966078,18,constant folding
clang_generated_O3_optimized.asm,0.2260610000000014,1.00761300272339,18,constant folding
clang_generated_unoptimized.asm,0.2860599999999991,1.0,27,dead code elimination
clang_generated_llm_optimized.asm,0.2474620000000005,0.8650702649793796,27,dead code elimination
clang_generated_O3_optimized.asm,0.2480499999999992,0.8671257778088513,27,dead code elimination
clang_generated_unoptimized.asm,0.2511580000000002,1.0,11,constant folding
clang_generated_llm_optimized.asm,0.2251159999999998,0.896312281512035,11,constant folding
clang_generated_O3_optimized.asm,0.2259510000000002,0.8996368819627487,11,constant folding
clang_generated_unoptimized.asm,0.2745310000000014,1.0,29,dead code elimination
clang_generated_llm_optimized.asm,0.2257240000000013,0.8222167988314624,29,dead code elimination
clang_generated_O3_optimized.asm,0.2262520000000005,0.8241400788981914,29,dead code elimination
clang_generated_unoptimized.asm,0.255256000000001,1.0,16,constant folding
clang_generated_llm_optimized.asm,0.2254209999999989,0.8831173410223386,16,constant folding
clang_generated_O3_optimized.asm,0.2264220000000012,0.8870388942865214,16,constant folding
clang_generated_unoptimized.asm,0.2507520000000003,1.0,42,strength reduction
clang_generated_llm_optimized.asm,0.220561,0.8795981687085237,42,strength reduction
clang_generated_O3_optimized.asm,0.2199610000000014,0.8772053662582996,42,strength reduction
